AppointmentID,ClinicID,PetID,ClientID,VeterinarianID,AppointmentDate,AppointmentTime,AppointmentType,BookingChannel,AppointmentStatus,ScheduledMinutes,ActualMinutes,WaitTimeMinutes,PrimaryDiagnosis,NewPatientVisit,FollowUpRecommended,SatisfactionScore
A0000001,CL012,P009814,C006525,EMP0300,2025-05-14,10:00,Wellness,Phone,Completed,30,32,0,Dental Disease,No,No,5
A0000002,CL011,P002428,C001620,EMP0257,2025-05-15,14:45,Sick Visit,Phone,Cancelled,30,,,,Yes,No,
A0000003,CL007,P000156,C000106,EMP0160,2024-05-29,14:30,Vaccination,Online,Completed,20,22,19,Mass/Neoplasia,Yes,No,4
A0000004,CL008,P004449,C002952,EMP0194,2024-02-16,14:45,Sick Visit,Mobile App,Completed,30,41,20,Routine/Healthy,No,No,5
A0000005,CL007,P008827,C005876,EMP0160,2025-09-02,12:00,Surgery,In Person,Completed,150,161,15,Dental Disease,No,No,5
A0000006,CL004,P002426,C001618,EMP0099,2025-05-30,18:15,Vaccination,Online,No Show,20,,,,No,No,
A0000007,CL008,P004040,C002679,EMP0195,2024-09-21,14:00,Wellness,Phone,Completed,30,34,31,Otitis Externa,No,No,4
A0000008,CL011,P011395,C007579,EMP0250,2024-04-02,10:30,Vaccination,In Person,No Show,20,,,,No,No,
A0000009,CL008,P008815,C005866,EMP0194,2024-09-01,10:00,Surgery,Mobile App,Completed,150,80,8,Routine/Healthy,No,No,2
A0000010,CL005,P005575,C003742,EMP0122,2025-07-22,09:00,Vaccination,In Person,Completed,20,16,7,Dermatitis/Allergy,Yes,No,5
A0000011,CL003,P001336,C000891,EMP0075,2025-07-26,12:30,Dental,In Person,Completed,120,176,21,Routine/Healthy,No,No,5
A0000012,CL005,P010457,C006945,EMP0109,2024-05-02,12:45,Wellness,Mobile App,Cancelled,30,,,,No,No,
A0000013,CL008,P001761,C001172,EMP0186,2025-11-04,13:30,Sick Visit,In Person,Completed,30,27,22,Dermatitis/Allergy,No,No,4
A0000014,CL010,P011729,C007797,EMP0235,2025-07-26,15:15,Wellness,Mobile App,No Show,30,,,,No,No,
A0000015,CL006,P007789,C005188,EMP0149,2025-03-22,10:00,Surgery,Mobile App,No Show,150,,,,No,No,
A0000016,CL010,P005349,C003578,EMP0223,2024-07-18,13:30,Wellness,Mobile App,Completed,30,25,9,Mass/Neoplasia,No,No,4
A0000017,CL005,P012405,C008240,EMP0115,2025-12-18,12:30,Wellness,In Person,Completed,30,38,22,Routine/Healthy,No,Yes,5
A0000018,CL007,P010484,C006959,EMP0164,2025-11-08,17:30,Vaccination,Online,No Show,20,,,,No,No,
A0000019,CL003,P005600,C003759,EMP0054,2025-12-19,14:00,Wellness,Online,Completed,30,23,0,Otitis Externa,Yes,No,4
A0000020,CL006,P009120,C006062,EMP0144,2024-02-27,11:45,Dental,In Person,No Show,120,,,,No,No,
A0000021,CL007,P007462,C004981,EMP0163,2024-01-22,12:45,Sick Visit,Phone,No Show,30,,,,No,No,
A0000022,CL002,P003292,C002182,EMP0031,2024-07-25,13:45,Emergency,Online,Completed,60,70,42,Routine/Healthy,No,Yes,5
A0000023,CL004,P006665,C004459,EMP0089,2025-10-04,16:45,Specialty Consult,Mobile App,Completed,60,26,10,Otitis Externa,No,No,5
A0000024,CL001,P000128,C000087,EMP0010,2025-11-23,17:15,Sick Visit,Phone,Completed,30,21,27,Gastrointestinal Upset,No,No,
A0000025,CL006,P000223,C000151,EMP0132,2024-04-26,12:00,Specialty Consult,Online,Cancelled,60,,,,No,No,
A0000026,CL010,P012424,C008253,EMP0226,2024-09-07,10:15,Follow-up,In Person,Cancelled,20,,,,No,No,
A0000027,CL006,P007399,C004942,EMP0135,2025-04-22,12:45,Specialty Consult,Mobile App,No Show,60,,,,No,No,
A0000028,CL005,P010313,C006848,EMP0113,2024-12-03,16:30,Vaccination,Online,Completed,20,12,24,Dermatitis/Allergy,No,Yes,5
A0000029,CL009,P011622,C007722,EMP0205,2025-12-10,15:45,Vaccination,Mobile App,Cancelled,20,,,,No,No,
A0000030,CL005,P003218,C002134,EMP0113,2025-02-01,14:45,Surgery,Mobile App,No Show,150,,,,No,No,
A0000031,CL006,P009823,C006531,EMP0144,2024-05-18,13:15,Wellness,Mobile App,Completed,30,37,17,Routine/Healthy,No,No,
A0000032,CL010,P007761,C005167,EMP0238,2025-01-23,14:30,Follow-up,Mobile App,Cancelled,20,,,,No,No,
A0000033,CL007,P011671,C007757,EMP0164,2025-09-13,15:45,Follow-up,Online,Completed,20,17,19,Kidney Disease,No,No,
A0000034,CL004,P010626,C007051,EMP0085,2024-05-09,15:30,Vaccination,Phone,Completed,20,18,0,Routine/Healthy,No,No,5
A0000035,CL005,P004913,C003277,EMP0118,2024-12-16,10:15,Surgery,Phone,Completed,150,129,31,Trauma,No,No,4
A0000036,CL004,P005971,C004005,EMP0077,2025-12-10,17:45,Sick Visit,Mobile App,Completed,30,36,14,Routine/Healthy,No,Yes,4
A0000037,CL005,P001385,C000928,EMP0122,2024-11-28,09:45,Follow-up,Mobile App,Completed,20,26,0,Kidney Disease,No,No,5
A0000038,CL003,P006513,C004360,EMP0060,2024-07-31,11:30,Vaccination,Mobile App,Completed,20,23,25,Heart Disease,No,No,5
A0000039,CL010,P007336,C004903,EMP0227,2024-03-07,09:30,Sick Visit,Phone,Completed,30,40,11,Other,No,Yes,5
A0000040,CL008,P011768,C007818,EMP0175,2025-01-11,16:00,Vaccination,Online,Completed,20,18,29,Lameness/Arthritis,No,No,
A0000041,CL001,P004841,C003225,EMP0007,2025-05-23,12:00,Wellness,In Person,Cancelled,30,,,,No,No,
A0000042,CL003,P008420,C005623,EMP0057,2025-04-08,12:45,Wellness,Mobile App,Completed,30,19,16,Upper Respiratory Infection,No,Yes,4
A0000043,CL007,P001389,C000931,EMP0157,2025-08-11,15:45,Wellness,In Person,Completed,30,43,24,Routine/Healthy,No,Yes,5
A0000044,CL006,P009039,C006008,EMP0146,2025-05-16,15:30,Follow-up,Phone,Completed,20,24,10,Other,No,Yes,2
A0000045,CL008,P002654,C001756,EMP0195,2024-09-11,12:45,Specialty Consult,In Person,Completed,60,57,27,Gastrointestinal Upset,No,No,
A0000046,CL003,P002469,C001645,EMP0070,2024-01-15,10:15,Emergency,Phone,Cancelled,60,,,,No,No,
A0000047,CL006,P002273,C001519,EMP0131,2025-05-10,10:30,Specialty Consult,Online,Completed,60,39,13,Otitis Externa,No,No,4
A0000048,CL004,P009404,C006255,EMP0077,2024-04-03,14:45,Sick Visit,Mobile App,Completed,30,29,11,Gastrointestinal Upset,No,No,5
A0000049,CL002,P008958,C005956,EMP0031,2025-02-06,17:45,Vaccination,In Person,Completed,20,24,5,Mass/Neoplasia,No,No,5
A0000050,CL010,P005988,C004015,EMP0226,2024-02-27,11:00,Wellness,Mobile App,Completed,30,26,6,Diabetes,No,No,
A0000051,CL010,P007415,C004951,EMP0235,2025-10-13,13:30,Follow-up,In Person,No Show,20,,,,No,No,
A0000052,CL008,P007856,C005233,EMP0190,2024-04-19,15:30,Wellness,Mobile App,Completed,30,32,15,Lameness/Arthritis,No,Yes,
A0000053,CL008,P008504,C005674,EMP0186,2025-11-27,16:45,Vaccination,Mobile App,Completed,20,22,15,Mass/Neoplasia,Yes,No,
A0000054,CL004,P007492,C005001,EMP0085,2024-09-05,12:30,Surgery,Mobile App,Completed,150,157,7,Lameness/Arthritis,No,No,2
A0000055,CL012,P006604,C004422,EMP0293,2025-04-17,12:30,Sick Visit,Online,Completed,30,31,13,Lameness/Arthritis,No,Yes,5
A0000056,CL009,P001434,C000965,EMP0210,2024-06-17,09:00,Wellness,In Person,Completed,30,37,6,Urinary Tract Disease,No,Yes,5
A0000057,CL009,P003907,C002584,EMP0210,2025-10-29,14:30,Sick Visit,In Person,Completed,30,26,6,Urinary Tract Disease,No,No,
A0000058,CL003,P002034,C001358,EMP0065,2025-04-14,08:00,Specialty Consult,Mobile App,Completed,60,59,30,Dermatitis/Allergy,No,No,
A0000059,CL003,P010661,C007074,EMP0062,2024-04-23,14:30,Emergency,Phone,Cancelled,60,,,,No,No,
A0000060,CL010,P001333,C000889,EMP0236,2025-12-14,11:45,Surgery,Mobile App,Cancelled,150,,,,No,No,
A0000061,CL012,P000111,C000075,EMP0277,2025-10-07,17:00,Emergency,Phone,Completed,60,39,38,Lameness/Arthritis,No,No,4
A0000062,CL012,P007136,C004775,EMP0286,2025-01-15,10:15,Dental,Mobile App,Completed,120,164,15,Mass/Neoplasia,Yes,No,
A0000063,CL012,P001338,C000893,EMP0300,2024-04-08,13:15,Sick Visit,Mobile App,Cancelled,30,,,,No,No,
A0000064,CL009,P004458,C002957,EMP0210,2025-08-15,11:30,Sick Visit,In Person,Completed,30,43,25,Urinary Tract Disease,No,No,5
A0000065,CL005,P000694,C000470,EMP0113,2024-12-04,13:30,Wellness,In Person,Completed,30,36,10,Routine/Healthy,No,No,5
A0000066,CL004,P001821,C001210,EMP0077,2025-07-12,13:15,Surgery,Mobile App,Completed,150,115,1,Trauma,No,No,4
A0000067,CL002,P009745,C006480,EMP0035,2024-12-06,11:45,Vaccination,Mobile App,No Show,20,,,,No,No,
A0000068,CL007,P006823,C004566,EMP0165,2024-02-15,11:15,Follow-up,In Person,No Show,20,,,,No,No,
A0000069,CL001,P012012,C007981,EMP0010,2025-11-06,12:15,Sick Visit,Mobile App,Completed,30,28,14,Dermatitis/Allergy,No,No,5
A0000070,CL006,P001050,C000711,EMP0144,2024-12-05,15:15,Follow-up,Phone,Completed,20,18,13,Routine/Healthy,No,No,5
A0000071,CL002,P003905,C002582,EMP0033,2024-08-26,10:30,Surgery,Mobile App,Completed,150,162,9,Dermatitis/Allergy,No,No,
A0000072,CL008,P010969,C007289,EMP0181,2024-01-22,10:30,Surgery,In Person,Completed,150,183,0,Urinary Tract Disease,No,No,3
A0000073,CL009,P005935,C003981,EMP0209,2025-07-01,08:30,Emergency,Online,Completed,60,69,33,Dermatitis/Allergy,Yes,No,5
A0000074,CL005,P009731,C006470,EMP0126,2024-10-30,14:30,Vaccination,In Person,Completed,20,18,10,Urinary Tract Disease,No,No,5
A0000075,CL005,P006800,C004549,EMP0107,2024-09-18,14:00,Vaccination,In Person,Completed,20,18,29,Dermatitis/Allergy,No,No,5
A0000076,CL005,P002695,C001788,EMP0113,2025-07-17,15:30,Dental,Phone,Cancelled,120,,,,No,No,
A0000077,CL010,P000635,C000429,EMP0230,2025-08-15,08:30,Vaccination,Mobile App,Completed,20,20,1,Urinary Tract Disease,No,No,3
A0000078,CL009,P002235,C001496,EMP0210,2025-07-22,09:00,Sick Visit,Online,Completed,30,10,5,Dental Disease,No,Yes,5
A0000079,CL001,P004599,C003057,EMP0015,2025-03-04,14:30,Wellness,Phone,Completed,30,34,14,Diabetes,No,No,
A0000080,CL006,P006982,C004673,EMP0149,2024-02-29,13:15,Dental,Online,Completed,120,156,0,Gastrointestinal Upset,No,No,5
A0000081,CL002,P008587,C005723,EMP0041,2025-12-22,09:30,Wellness,In Person,Cancelled,30,,,,No,No,
A0000082,CL012,P008247,C005502,EMP0277,2025-02-01,12:30,Sick Visit,Online,Cancelled,30,,,,No,No,
A0000083,CL004,P011511,C007650,EMP0077,2025-12-16,13:15,Sick Visit,Mobile App,No Show,30,,,,No,No,
A0000084,CL007,P011674,C007759,EMP0174,2024-03-27,13:30,Sick Visit,Phone,Cancelled,30,,,,No,No,
A0000085,CL006,P004145,C002753,EMP0131,2024-07-29,09:30,Vaccination,In Person,Completed,20,20,12,Routine/Healthy,No,No,5
A0000086,CL001,P010270,C006824,EMP0015,2024-04-25,08:15,Wellness,Mobile App,Cancelled,30,,,,No,No,
A0000087,CL010,P010453,C006942,EMP0236,2025-06-11,14:15,Vaccination,Mobile App,Cancelled,20,,,,No,No,
A0000088,CL007,P006087,C004085,EMP0174,2025-06-06,10:45,Surgery,In Person,Completed,150,217,1,Urinary Tract Disease,No,Yes,
A0000089,CL009,P010134,C006740,EMP0210,2025-10-07,10:30,Vaccination,Online,Completed,20,23,21,Otitis Externa,No,No,5
A0000090,CL009,P010774,C007150,EMP0198,2024-06-19,11:00,Sick Visit,Mobile App,Completed,30,18,33,Other,No,Yes,4
A0000091,CL003,P011921,C007922,EMP0060,2025-06-07,12:15,Sick Visit,In Person,Completed,30,15,19,Gastrointestinal Upset,No,No,5
A0000092,CL003,P004784,C003188,EMP0065,2025-11-05,17:15,Wellness,Phone,Cancelled,30,,,,No,No,
A0000093,CL006,P000312,C000216,EMP0134,2024-10-25,12:30,Vaccination,In Person,Completed,20,23,12,Upper Respiratory Infection,No,No,4
A0000094,CL003,P008719,C005803,EMP0057,2024-05-04,15:45,Vaccination,In Person,No Show,20,,,,No,No,
A0000095,CL009,P002236,C001496,EMP0210,2025-05-26,10:45,Follow-up,Mobile App,Cancelled,20,,,,No,No,
