SnapshotDate,ClinicID,ItemID,ItemName,Category,UnitCost,ChargePrice,UnitsOnHand,UnitsUsedMonth,UnitsWastedMonth,ReorderPoint,StockoutFlag,InventoryValue
2024-01-31,CL001,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,87,44,0,60,No,1609.5
2024-01-31,CL001,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,73,47,0,45,No,1259.25
2024-01-31,CL001,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,52,52,0,70,No,1664.0
2024-01-31,CL001,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,42,53,1,50,No,1218.0
2024-01-31,CL001,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,146,80,1,100,No,2117.0
2024-01-31,CL001,IT006,CBC Cartridge,Diagnostics,38.0,95.0,80,78,4,80,No,3040.0
2024-01-31,CL001,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,105,62,1,70,No,4830.0
2024-01-31,CL001,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,70,46,4,120,No,297.5
2024-01-31,CL001,IT009,Suture Pack,Surgical Supplies,7.5,32.0,82,39,0,75,No,615.0
2024-01-31,CL001,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,0,25,2,30,Yes,0.0
2024-01-31,CL001,IT011,Microchip,Preventive,11.0,55.0,101,84,2,80,No,1111.0
2024-01-31,CL001,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,143,115,2,100,No,2288.0
2024-01-31,CL001,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,200,115,2,100,No,1900.0
2024-01-31,CL001,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,671,223,12,500,No,120.78
2024-01-31,CL001,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,547,355,13,500,No,65.64
2024-01-31,CL002,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,125,61,0,60,No,2312.5
2024-01-31,CL002,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,85,45,2,45,No,1466.25
2024-01-31,CL002,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,120,78,0,70,No,3840.0
2024-01-31,CL002,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,47,40,3,50,No,1363.0
2024-01-31,CL002,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,169,91,1,100,No,2450.5
2024-01-31,CL002,IT006,CBC Cartridge,Diagnostics,38.0,95.0,143,56,4,80,No,5434.0
2024-01-31,CL002,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,90,42,0,70,No,4140.0
2024-01-31,CL002,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,190,77,3,120,No,807.5
2024-01-31,CL002,IT009,Suture Pack,Surgical Supplies,7.5,32.0,119,68,1,75,No,892.5
2024-01-31,CL002,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,55,34,0,30,No,660.0
2024-01-31,CL002,IT011,Microchip,Preventive,11.0,55.0,112,46,3,80,No,1232.0
2024-01-31,CL002,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,183,125,2,100,No,2928.0
2024-01-31,CL002,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,120,92,0,100,No,1140.0
2024-01-31,CL002,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,893,307,11,500,No,160.74
2024-01-31,CL002,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,428,380,12,500,No,51.36
2024-01-31,CL003,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,75,42,1,60,No,1387.5
2024-01-31,CL003,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,61,50,1,45,No,1052.25
2024-01-31,CL003,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,116,38,2,70,No,3712.0
2024-01-31,CL003,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,59,53,3,50,No,1711.0
2024-01-31,CL003,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,96,132,1,100,No,1392.0
2024-01-31,CL003,IT006,CBC Cartridge,Diagnostics,38.0,95.0,38,72,4,80,No,1444.0
2024-01-31,CL003,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,127,31,2,70,No,5842.0
2024-01-31,CL003,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,142,150,1,120,No,603.5
2024-01-31,CL003,IT009,Suture Pack,Surgical Supplies,7.5,32.0,103,28,3,75,No,772.5
2024-01-31,CL003,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,25,31,1,30,No,300.0
2024-01-31,CL003,IT011,Microchip,Preventive,11.0,55.0,128,79,3,80,No,1408.0
2024-01-31,CL003,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,136,69,3,100,No,2176.0
2024-01-31,CL003,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,152,88,3,100,No,1444.0
2024-01-31,CL003,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,547,582,9,500,No,98.46
2024-01-31,CL003,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,675,603,13,500,No,81.0
2024-01-31,CL004,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,46,62,3,60,No,851.0
2024-01-31,CL004,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,78,47,0,45,No,1345.5
2024-01-31,CL004,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,58,42,0,70,No,1856.0
2024-01-31,CL004,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,68,30,2,50,No,1972.0
2024-01-31,CL004,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,122,71,0,100,No,1769.0
2024-01-31,CL004,IT006,CBC Cartridge,Diagnostics,38.0,95.0,117,77,0,80,No,4446.0
2024-01-31,CL004,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,178,29,4,70,No,8188.0
2024-01-31,CL004,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,129,48,3,120,No,548.25
2024-01-31,CL004,IT009,Suture Pack,Surgical Supplies,7.5,32.0,140,71,0,75,No,1050.0
2024-01-31,CL004,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,26,27,0,30,No,312.0
2024-01-31,CL004,IT011,Microchip,Preventive,11.0,55.0,61,44,0,80,No,671.0
2024-01-31,CL004,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,160,125,2,100,No,2560.0
2024-01-31,CL004,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,190,98,3,100,No,1805.0
2024-01-31,CL004,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,926,370,12,500,No,166.68
2024-01-31,CL004,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,408,363,13,500,No,48.96
2024-01-31,CL005,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,164,38,0,60,No,3034.0
2024-01-31,CL005,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,60,56,0,45,No,1035.0
2024-01-31,CL005,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,112,92,1,70,No,3584.0
2024-01-31,CL005,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,42,33,0,50,No,1218.0
2024-01-31,CL005,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,120,76,2,100,No,1740.0
2024-01-31,CL005,IT006,CBC Cartridge,Diagnostics,38.0,95.0,129,85,2,80,No,4902.0
2024-01-31,CL005,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,99,51,2,70,No,4554.0
2024-01-31,CL005,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,84,115,4,120,No,357.0
2024-01-31,CL005,IT009,Suture Pack,Surgical Supplies,7.5,32.0,132,86,2,75,No,990.0
2024-01-31,CL005,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,29,21,2,30,No,348.0
2024-01-31,CL005,IT011,Microchip,Preventive,11.0,55.0,45,101,2,80,No,495.0
2024-01-31,CL005,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,135,113,3,100,No,2160.0
2024-01-31,CL005,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,134,119,4,100,No,1273.0
2024-01-31,CL005,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,333,544,11,500,No,59.94
2024-01-31,CL005,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,564,476,10,500,No,67.68
2024-01-31,CL006,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,81,64,0,60,No,1498.5
2024-01-31,CL006,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,62,37,0,45,No,1069.5
2024-01-31,CL006,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,98,74,4,70,No,3136.0
2024-01-31,CL006,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,70,30,1,50,No,2030.0
2024-01-31,CL006,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,76,79,2,100,No,1102.0
2024-01-31,CL006,IT006,CBC Cartridge,Diagnostics,38.0,95.0,74,69,3,80,No,2812.0
2024-01-31,CL006,IT007,Chemistry Panel Cartridge,Diagnostics,46.0,115.0,122,51,1,70,No,5612.0
2024-01-31,CL006,IT008,IV Fluid Bag 1L,Medical Supplies,4.25,28.0,94,74,3,120,No,399.5
2024-01-31,CL006,IT009,Suture Pack,Surgical Supplies,7.5,32.0,131,75,1,75,No,982.5
2024-01-31,CL006,IT010,Surgical Gloves Box,Surgical Supplies,12.0,0.0,34,25,0,30,No,408.0
2024-01-31,CL006,IT011,Microchip,Preventive,11.0,55.0,49,104,5,80,No,539.0
2024-01-31,CL006,IT012,Flea/Tick Preventive Dose,Pharmacy,16.0,39.0,132,71,1,100,No,2112.0
2024-01-31,CL006,IT013,Heartworm Preventive Dose,Pharmacy,9.5,28.0,171,85,4,100,No,1624.5
2024-01-31,CL006,IT014,Amoxicillin 100mg,Pharmacy,0.18,0.75,386,693,14,500,No,69.48
2024-01-31,CL006,IT015,Prednisone 20mg,Pharmacy,0.12,0.55,1058,461,12,500,No,126.96
2024-01-31,CL007,IT001,Canine Rabies Vaccine,Vaccines,18.5,35.0,106,67,0,60,No,1961.0
2024-01-31,CL007,IT002,Feline Rabies Vaccine,Vaccines,17.25,35.0,68,60,1,45,No,1173.0
2024-01-31,CL007,IT003,Canine DHPP Vaccine,Vaccines,32.0,62.0,45,47,1,70,No,1440.0
2024-01-31,CL007,IT004,Feline FVRCP Vaccine,Vaccines,29.0,58.0,48,36,0,50,No,1392.0
2024-01-31,CL007,IT005,Heartworm Test Kit,Diagnostics,14.5,48.0,155,71,1,100,No,2247.5
2024-01-31,CL007,IT006,CBC Cartridge,Diagnostics,38.0,95.0,121,67,0,80,No,4598.0
