InvoiceLineID,InvoiceID,AppointmentID,ServiceID,Quantity,UnitPrice,DiscountAmount,LineTotal,RevenueCategory
IL00000001,INV0000001,A0000001,SV006,1,32.51,3.25,29.26,Preventive
IL00000002,INV0000001,A0000001,SV024,1,59.83,2.99,56.84,Preventive
IL00000003,INV0000002,A0000003,SV005,1,111.64,0.0,111.64,Preventive
IL00000004,INV0000002,A0000003,SV004,1,117.44,0.0,117.44,Preventive
IL00000005,INV0000002,A0000003,SV006,1,37.21,0.0,37.21,Preventive
IL00000006,INV0000003,A0000004,SV002,1,99.93,9.99,89.94,Medical
IL00000007,INV0000004,A0000005,SV020,1,699.19,0.0,699.19,Surgery
IL00000008,INV0000004,A0000005,SV016,1,477.27,0.0,477.27,Surgery
IL00000009,INV0000004,A0000005,SV019,1,209.28,0.0,209.28,Surgery
IL00000010,INV0000004,A0000005,SV009,1,194.08,0.0,194.08,Diagnostics
IL00000011,INV0000005,A0000007,SV007,1,44.17,4.42,39.75,Diagnostics
IL00000012,INV0000005,A0000007,SV006,1,32.81,0.0,32.81,Preventive
IL00000013,INV0000005,A0000007,SV025,1,26.59,0.0,26.59,Grooming
IL00000014,INV0000006,A0000009,SV019,1,207.04,20.7,186.34,Surgery
IL00000015,INV0000007,A0000010,SV005,1,116.53,0.0,116.53,Preventive
IL00000016,INV0000007,A0000010,SV004,1,123.16,6.16,117.0,Preventive
IL00000017,INV0000007,A0000010,SV001,1,76.04,7.6,68.44,Preventive
IL00000018,INV0000008,A0000011,SV014,1,158.79,15.88,142.91,Dental
IL00000019,INV0000008,A0000011,SV015,1,300.09,30.01,270.08,Dental
IL00000020,INV0000009,A0000013,SV011,1,212.01,0.0,212.01,Imaging
IL00000021,INV0000009,A0000013,SV022,1,140.38,0.0,140.38,Treatment
IL00000022,INV0000009,A0000013,SV009,1,193.1,0.0,193.1,Diagnostics
IL00000023,INV0000010,A0000016,SV001,1,75.61,0.0,75.61,Preventive
IL00000024,INV0000010,A0000016,SV004,1,115.46,0.0,115.46,Preventive
IL00000025,INV0000010,A0000016,SV007,1,47.03,2.35,44.68,Diagnostics
IL00000026,INV0000010,A0000016,SV005,1,116.61,0.0,116.61,Preventive
IL00000027,INV0000011,A0000017,SV025,1,23.82,0.0,23.82,Grooming
IL00000028,INV0000011,A0000017,SV004,1,107.53,0.0,107.53,Preventive
IL00000029,INV0000011,A0000017,SV008,1,45.74,0.0,45.74,Diagnostics
IL00000030,INV0000012,A0000019,SV025,1,23.23,2.32,20.91,Grooming
IL00000031,INV0000012,A0000019,SV024,1,60.94,0.0,60.94,Preventive
IL00000032,INV0000012,A0000019,SV006,1,38.17,0.0,38.17,Preventive
IL00000033,INV0000012,A0000019,SV007,1,49.7,2.49,47.21,Diagnostics
IL00000034,INV0000013,A0000022,SV023,1,410.48,0.0,410.48,Hospitalization
IL00000035,INV0000013,A0000022,SV003,1,154.96,15.5,139.46,Emergency
IL00000036,INV0000013,A0000022,SV009,1,205.25,0.0,205.25,Diagnostics
IL00000037,INV0000014,A0000023,SV012,1,419.93,21.0,398.93,Imaging
IL00000038,INV0000014,A0000023,SV039,1,260.34,0.0,260.34,Specialty
IL00000039,INV0000014,A0000023,SV037,1,255.5,25.55,229.95,Specialty
IL00000040,INV0000015,A0000024,SV011,1,213.44,0.0,213.44,Imaging
IL00000041,INV0000016,A0000028,SV006,1,39.12,1.96,37.16,Preventive
IL00000042,INV0000016,A0000028,SV005,1,108.19,5.41,102.78,Preventive
IL00000043,INV0000016,A0000028,SV001,1,80.68,0.0,80.68,Preventive
IL00000044,INV0000016,A0000028,SV004,1,109.05,0.0,109.05,Preventive
IL00000045,INV0000017,A0000031,SV004,1,115.46,5.77,109.69,Preventive
IL00000046,INV0000017,A0000031,SV024,1,52.46,0.0,52.46,Preventive
IL00000047,INV0000017,A0000031,SV008,1,41.18,0.0,41.18,Diagnostics
IL00000048,INV0000018,A0000033,SV034,1,67.39,0.0,67.39,Rehabilitation
IL00000049,INV0000018,A0000033,SV002,1,103.64,0.0,103.64,Medical
IL00000050,INV0000018,A0000033,SV029,1,37.28,1.86,35.42,Treatment
IL00000051,INV0000019,A0000034,SV001,1,83.95,0.0,83.95,Preventive
IL00000052,INV0000019,A0000034,SV006,1,32.49,3.25,29.24,Preventive
IL00000053,INV0000019,A0000034,SV004,1,114.77,5.74,109.03,Preventive
IL00000054,INV0000019,A0000034,SV005,1,107.45,10.75,96.7,Preventive
IL00000055,INV0000020,A0000035,SV023,1,429.14,21.46,407.68,Hospitalization
IL00000056,INV0000020,A0000035,SV009,1,184.07,0.0,184.07,Diagnostics
IL00000057,INV0000021,A0000036,SV027,1,63.43,3.17,60.26,Diagnostics
IL00000058,INV0000021,A0000036,SV010,1,62.43,6.24,56.19,Diagnostics
IL00000059,INV0000021,A0000036,SV022,1,154.77,0.0,154.77,Treatment
IL00000060,INV0000022,A0000037,SV029,1,37.28,0.0,37.28,Treatment
