InvoiceID,AppointmentID,ClinicID,ClientID,PetID,InvoiceDate,Subtotal,TaxAmount,TotalAmount,AmountPaid,BalanceDue,PaymentStatus,PaymentMethod,InsuranceClaim
INV0000001,A0000001,CL012,C006525,P009814,2025-05-14,86.1,6.03,92.13,92.13,0.0,Paid,Credit Card,No
INV0000002,A0000003,CL007,C000106,P000156,2024-05-29,266.29,0.0,266.29,266.29,0.0,Paid,CareCredit,No
INV0000003,A0000004,CL008,C002952,P004449,2024-02-16,89.94,0.0,89.94,89.94,0.0,Paid,Debit Card,No
INV0000004,A0000005,CL007,C005876,P008827,2025-09-02,1579.82,110.59,1690.41,1690.41,0.0,Paid,Cash,No
INV0000005,A0000007,CL008,C002679,P004040,2024-09-21,99.15,0.0,99.15,99.15,0.0,Paid,Credit Card,No
INV0000006,A0000009,CL008,C005866,P008815,2024-09-01,186.34,0.0,186.34,186.34,0.0,Paid,Pet Insurance,Yes
INV0000007,A0000010,CL005,C003742,P005575,2025-07-22,301.97,0.0,301.97,301.97,0.0,Paid,CareCredit,No
INV0000008,A0000011,CL003,C000891,P001336,2025-07-26,412.99,0.0,412.99,412.99,0.0,Paid,Cash,No
INV0000009,A0000013,CL008,C001172,P001761,2025-11-04,545.49,38.18,583.67,583.67,0.0,Paid,Credit Card,No
INV0000010,A0000016,CL010,C003578,P005349,2024-07-18,352.36,0.0,352.36,352.36,0.0,Paid,Pet Insurance,Yes
INV0000011,A0000017,CL005,C008240,P012405,2025-12-18,177.09,0.0,177.09,177.09,0.0,Paid,Online Payment,No
INV0000012,A0000019,CL003,C003759,P005600,2025-12-19,167.23,0.0,167.23,167.23,0.0,Paid,Debit Card,No
INV0000013,A0000022,CL002,C002182,P003292,2024-07-25,755.19,0.0,755.19,755.19,0.0,Paid,Debit Card,No
INV0000014,A0000023,CL004,C004459,P006665,2025-10-04,889.22,0.0,889.22,889.22,0.0,Paid,Online Payment,No
INV0000015,A0000024,CL001,C000087,P000128,2025-11-23,213.44,0.0,213.44,213.44,0.0,Paid,Debit Card,No
INV0000016,A0000028,CL005,C006848,P010313,2024-12-03,329.67,0.0,329.67,329.67,0.0,Paid,Cash,No
INV0000017,A0000031,CL006,C006531,P009823,2024-05-18,203.33,0.0,203.33,203.33,0.0,Paid,Debit Card,No
INV0000018,A0000033,CL007,C007757,P011671,2025-09-13,206.45,0.0,206.45,206.45,0.0,Paid,Online Payment,No
INV0000019,A0000034,CL004,C007051,P010626,2024-05-09,318.92,0.0,318.92,318.92,0.0,Paid,Debit Card,No
INV0000020,A0000035,CL005,C003277,P004913,2024-12-16,591.75,0.0,591.75,591.75,0.0,Paid,Cash,No
