PetID,ClientID,PetName,Species,Breed,Sex,SpayedNeutered,DateOfBirth,WeightLbs,InsuranceStatus,ChronicCondition,PetStatus
P000001,C000001,Buddy,Dog,Poodle,Female,Yes,2025-05-06,86.8,Not Insured,None,Active
P000002,C000002,Lola,Dog,German Shepherd,Female,Yes,2015-01-14,94.3,Not Insured,None,Active
P000003,C000002,Scout,Dog,Poodle,Female,Yes,2023-06-10,91.0,Not Insured,Seizure Disorder,Active
P000004,C000002,Hazel,Dog,Golden Retriever,Female,No,2020-03-20,68.2,Not Insured,None,Active
P000005,C000003,Luna,Reptile,Bearded Dragon,Male,Yes,2023-08-15,4.6,Not Insured,None,Inactive
P000006,C000004,Biscuit,Dog,Yorkshire Terrier,Female,No,2020-07-06,4.4,Insured,None,Active
P000007,C000005,Nala,Cat,Domestic Longhair,Female,Yes,2024-09-30,19.1,Not Insured,None,Active
P000008,C000005,Rocky,Cat,Ragdoll,Male,Yes,2020-02-20,5.0,Not Insured,Allergies,Active
P000009,C000006,Charlie,Dog,Yorkshire Terrier,Female,Yes,2020-02-22,56.5,Insured,None,Active
P000010,C000007,Jasper,Cat,Russian Blue,Male,Yes,2018-11-29,10.5,Not Insured,None,Active
P000011,C000008,Leo,Cat,Maine Coon,Female,Yes,2021-04-27,14.4,Not Insured,Seizure Disorder,Active
P000012,C000009,Winston,Dog,Boxer,Female,Yes,2021-05-30,21.3,Not Insured,None,Active
P000013,C000010,Murphy,Cat,Bengal,Male,Yes,2016-02-16,19.3,Not Insured,None,Active
P000014,C000011,Bear,Dog,Poodle,Male,Yes,2011-07-12,99.7,Not Insured,Kidney Disease,Active
P000015,C000012,Willow,Cat,Domestic Shorthair,Male,Yes,2011-07-04,18.5,Insured,None,Inactive
P000016,C000012,Jasper,Dog,Beagle,Female,Yes,2017-02-12,86.5,Not Insured,None,Active
P000017,C000012,Murphy,Dog,French Bulldog,Male,Yes,2024-06-29,67.9,Not Insured,Allergies,Active
P000018,C000013,Rosie,Dog,Labrador Retriever,Female,Yes,2018-02-26,56.0,Insured,None,Active
P000019,C000013,Jasper,Dog,French Bulldog,Female,Yes,2019-01-16,44.0,Insured,None,Active
P000020,C000014,Milo,Dog,Chihuahua,Male,Yes,2016-11-30,7.9,Insured,None,Active
P000021,C000015,Buddy,Cat,Domestic Longhair,Female,Yes,2020-11-17,13.2,Insured,None,Active
P000022,C000015,Stella,Dog,Labrador Retriever,Male,Yes,2013-10-16,98.6,Not Insured,None,Active
P000023,C000016,Lola,Dog,Golden Retriever,Female,Yes,2019-06-11,11.2,Not Insured,None,Active
P000024,C000017,Leo,Dog,Boxer,Female,Yes,2017-12-12,40.4,Not Insured,None,Active
P000025,C000018,Winston,Dog,Golden Retriever,Male,No,2020-07-25,31.3,Not Insured,Arthritis,Active
P000026,C000019,Oliver,Cat,Persian,Male,Yes,2012-09-20,19.5,Not Insured,None,Active
P000027,C000019,Rosie,Dog,Yorkshire Terrier,Female,Yes,2019-05-28,75.0,Insured,Kidney Disease,Active
P000028,C000020,Nala,Cat,Ragdoll,Female,No,2020-10-02,15.5,Not Insured,Arthritis,Active
P000029,C000020,Blue,Dog,Yorkshire Terrier,Male,Yes,2016-09-24,98.7,Insured,Arthritis,Active
P000030,C000021,Hazel,Bird,Other,Male,Yes,2011-09-21,1.1,Insured,None,Active
P000031,C000021,Duke,Dog,Labrador Retriever,Female,Yes,2024-03-23,66.7,Insured,None,Active
P000032,C000022,Nala,Dog,Great Dane,Female,Yes,2024-08-15,40.1,Not Insured,Arthritis,Active
P000033,C000022,Jasper,Dog,German Shepherd,Male,Yes,2022-05-24,35.2,Not Insured,None,Active
P000034,C000023,Leo,Dog,Labrador Retriever,Female,Yes,2017-12-29,78.4,Not Insured,None,Active
P000035,C000023,Rosie,Dog,Chihuahua,Male,Yes,2025-10-26,4.2,Not Insured,None,Active
P000036,C000023,Stella,Dog,Australian Shepherd,Female,No,2017-05-18,19.7,Not Insured,None,Active
P000037,C000024,Biscuit,Dog,Australian Shepherd,Male,Yes,2013-08-16,46.4,Not Insured,None,Active
P000038,C000025,Lucy,Dog,Great Dane,Male,Yes,2015-03-26,12.0,Not Insured,None,Active
P000039,C000026,Coco,Cat,Domestic Shorthair,Female,Yes,2017-03-27,17.2,Insured,None,Active
P000040,C000027,Winston,Rabbit,Mixed Breed,Female,Yes,2019-11-05,1.5,Insured,None,Active
P000041,C000028,Bear,Cat,Persian,Female,Yes,2019-10-12,19.8,Not Insured,None,Active
P000042,C000028,Molly,Dog,Mixed Breed,Male,Yes,2018-09-16,28.6,Not Insured,None,Active
