Month,EmployeeID,ClinicID,Role,RegularHours,OvertimeHours,PTOHours,ProductiveHours
2024-01-01,EMP0001,CL001,Veterinary Technician,168.5,0.9,16,153.4
2024-01-01,EMP0002,CL001,Practice Manager,95.1,2.1,24,73.2
2024-01-01,EMP0003,CL001,Practice Manager,129.5,3.9,8,125.4
2024-01-01,EMP0004,CL001,Veterinary Technician,125.2,4.0,0,129.2
2024-01-01,EMP0005,CL001,Veterinary Technician,177.7,4.3,16,166.0
2024-01-01,EMP0006,CL001,Veterinary Technician,179.6,5.7,24,161.3
2024-01-01,EMP0007,CL001,Veterinarian,177.5,0,24,153.5
2024-01-01,EMP0008,CL001,Veterinarian,162.2,4.2,8,158.4
2024-01-01,EMP0009,CL001,Veterinary Technician,170.0,1.0,0,171.0
2024-01-01,EMP0010,CL001,Veterinarian,176.2,7.5,8,175.7
2024-01-01,EMP0011,CL001,Veterinary Assistant,167.5,2.3,16,153.8
2024-01-01,EMP0012,CL001,Veterinary Technician,113.9,7.2,16,105.1
2024-01-01,EMP0013,CL001,Veterinary Technician,147.8,1.3,0,149.1
2024-01-01,EMP0014,CL001,Veterinarian,168.6,0.7,0,169.3
2024-01-01,EMP0015,CL001,Veterinarian,160.6,10.1,0,170.7
2024-01-01,EMP0016,CL001,Veterinarian,170.9,1.8,16,156.7
2024-01-01,EMP0017,CL001,Veterinary Assistant,128.5,0,0,128.5
2024-01-01,EMP0018,CL001,Practice Manager,115.3,6.4,24,97.7
2024-01-01,EMP0019,CL001,Veterinarian,165.3,3.7,0,169.0
2024-01-01,EMP0020,CL001,Veterinarian,172.2,8.1,0,180.3
2024-01-01,EMP0021,CL001,Veterinarian,175.7,12.9,0,188.6
2024-01-01,EMP0022,CL001,Client Service Representative,186.1,0.2,16,170.3
2024-01-01,EMP0023,CL001,Veterinary Technician,133.9,0,0,133.9
2024-01-01,EMP0024,CL001,Veterinary Assistant,174.5,0.6,0,175.1
2024-01-01,EMP0025,CL001,Veterinary Technician,176.1,3.7,8,171.8
2024-01-01,EMP0026,CL001,Veterinarian,179.1,5.1,8,176.2
2024-01-01,EMP0027,CL001,Veterinary Assistant,136.8,0,0,136.8
